name,number_of_episodes,original_language,vote_count,vote_average,vote_Avg_Category
Back to the Future,26,en,31,6.2,2
Miss Marple: Nemesis,2,en,31,7.258,2
Moonbeam City,10,en,31,5.5,1
"Now and Then, Here and There",13,ja,31,7.387,2
Tutankhamun,4,en,31,6.4,2
Mama June: From Not to Hot,82,en,31,8.806,3
James Acaster: Repertoire,4,en,31,7.984,2
He Is Psychometric,16,ko,31,7.565,2
The Man Show,116,en,31,6.258,2
9/11: One Day in America,6,en,31,8.339,3
Watchmen: Motion Comic,12,en,31,7.726,2
1864,8,da,31,6.4,2
Myth & Mogul: John DeLorean,3,en,31,6.7,2
The Martian Chronicles,3,en,31,6.9,2
Bosom Buddies,38,en,31,6.517,2
Flowers of Evil,13,ja,31,6.71,2
The Emperor's Cook,12,ja,31,7.4,2
Running Wilde,13,en,31,6.5,2
The Winds of War,7,en,31,7.516,2
Mrs. Fazilet and Her Daughters,50,tr,31,7.6,2
I Know My First Name Is Steven,2,en,31,6.742,2
Don Quijote de la Mancha,39,es,31,7.5,2
Apparitions,6,en,31,7.242,2
Buddy Daddies,12,ja,31,8.2,3
South Pacific,6,en,31,8.081,3
LEGO Ninjago: Dragons Rising,20,en,31,8.3,3
Ashley Garcia: Genius in Love,14,en,31,7.113,2
Digimon Fusion,79,ja,31,8.0,2
Scarecrow and Mrs. King,88,en,31,6.484,2
The Oath,18,en,31,6.758,2
Blinded by the Lights,8,pl,31,7.645,2
W1A,14,en,31,7.9,2
¿Tú Crees? Enredos de Diez,14,es,31,8.0,2
The Final Cut,4,en,31,7.71,2
Informer,6,en,31,7.274,2
ChalkZone,108,en,31,6.871,2
The Horror of Dolores Roach,8,en,31,6.6,2
Street Fighter II: V,29,ja,31,7.145,2
Aharen-san wa Hakarenai,12,ja,31,7.065,2
Dark Side of the Ring,40,en,31,8.323,3
Dog & Scissors,12,ja,31,6.3,2
Maverick,124,en,31,7.1,2
Comedy Bang! Bang!,110,en,31,6.323,2
The Clearing,8,en,31,6.531,2
River of Passions,61,es,31,6.8,2
This Fool,20,en,31,8.3,3
A to Z,13,en,31,6.7,2
Mr. Hiiragi's Homeroom,10,ja,31,8.1,3
Total Drama All-Stars and Pahkitew Island,26,en,31,6.79,2
Chiquititas,545,pt,31,8.758,3
Total Divas,120,en,31,7.468,2
The Victims' Game,8,zh,31,7.4,2
Family Affair,138,en,31,6.581,2
La Fan,54,es,31,7.7,2
Dramaworld,20,en,31,7.2,2
Sherwood,6,en,31,7.21,2
Celebrity Family Feud,90,en,31,7.968,2
"From Today, It's My Turn!!",10,ja,31,7.758,2
The Incredible Journey of Mary Bryant,2,en,31,7.097,2
Black Snow,6,en,31,6.742,2
McGREGOR FOREVER,4,en,31,7.952,2
Magpie Murders,6,en,31,7.097,2
Naked Attraction,60,en,31,6.435,2
Fuuka,12,ja,31,6.9,2
Ghost Hunt,25,ja,31,7.9,2
Richie Rich,21,en,31,5.871,1
Paris Police 1900,8,fr,31,6.9,2
Elvis Presley: The Searcher,2,en,31,7.645,2
Awkwafina is Nora From Queens,27,en,31,7.4,2
Rebooting,10,ja,31,8.9,3
"If It's for My Daughter, I'd Even Defeat a Demon Lord",12,ja,30,7.2,2
Sideswiped,8,en,30,7.1,2
Coppelion,13,ja,30,7.267,2
The New York Times Presents,17,en,30,7.2,2
1994,8,it,30,7.3,2
Doctor Doctor,48,en,30,7.3,2
Cuentos para viernes por la noche,7,es,30,6.7,2
Sugar Rush,20,en,30,7.017,2
Ashes of Love,63,zh,30,8.1,3
Iris II,20,ko,30,7.7,2
Young Hercules,50,en,30,5.8,1
The Brak Show,28,en,30,7.333,2
Baretta,83,en,30,6.5,2
Blood & Oil,10,en,30,6.667,2
The Time in Between,11,es,30,7.167,2
When Supernatural Battles Became Commonplace,12,ja,30,5.867,1
Unhappily Ever After,100,en,30,7.017,2
The City and the City,4,en,30,6.0,1
Vencer la ausencia,80,es,30,7.433,2
Undergrads,13,en,30,7.9,2
Isabel,3,es,30,6.6,2
Bad Vegan: Fame. Fraud. Fugitives.,4,en,30,6.3,2
World on a Wire,2,de,30,7.3,2
As If,42,tr,30,8.483,3
Las aventuras de Hijitus,74,es,30,8.5,3
Doctor Lawyer,16,ko,30,8.433,3
How Do They Do It?,287,en,30,7.567,2
Scarlett,4,en,30,6.9,2
Transformers: Rescue Bots,104,en,30,7.583,2
Ku'damm 56 – Rebel With a Cause,3,de,30,7.8,2
Life & Beth,10,en,30,6.867,2
Chief Kim,20,ko,30,8.333,3
Planet Sheen,50,en,30,4.5,1
The Teacher,26,pl,30,7.3,2
Valley of Tears,10,he,30,7.85,2
Ground Floor,20,en,30,7.2,2
Monty Python: Almost the Truth (The Lawyer's Cut),6,en,30,7.7,2
Back Street Girls -GOKUDOLS-,10,ja,30,6.0,1
100 Things to Do Before High School,25,en,30,7.5,2
Impure,40,pt,30,7.667,2
The Mob Doctor,13,en,30,6.5,2
Complications,10,en,30,6.417,2
NTSF:SD:SUV::,39,en,30,6.867,2
Criminal Justice,10,hi,30,7.667,2
Paranormal Lockdown,36,en,30,8.067,3
Who Rules The World,40,zh,30,7.4,2
Spies of Warsaw,2,en,30,6.6,2
Dark Angel,2,en,30,6.383,2
The Kapil Sharma Show,474,hi,30,7.483,2
Shots Fired,10,en,30,6.15,2
Rooftop Prince,20,ko,30,7.5,2
Him & Her,25,en,30,7.5,2
Live,18,ko,30,8.2,3
Silver Spoon,48,ru,30,8.3,3
Knight Squad,29,en,30,8.5,3
The Game,147,en,30,7.9,2
Tsunami: The Aftermath,2,en,30,6.183,2
Wizard Barristers,12,ja,30,7.3,2
Breadwinners,77,en,30,3.933,1
Dave Chappelle,2,en,30,7.467,2
Dead End: Paranormal Park,20,en,30,8.433,3
Guilt,12,en,30,7.138,2
The Crocodile Hunter,87,en,30,7.633,2
Wives and Daughters,6,en,30,7.7,2
The Veil,12,ko,30,8.017,3
The Adventures of Sinbad,44,en,30,7.065,2
BoOzy’ OS,1,fr,30,7.6,2
School Rumble,52,ja,30,7.967,2
Comrade Detective,6,en,30,6.717,2
The Adventures of Batman,34,en,30,7.172,2
Accused,15,en,30,8.0,2
The Astronaut Wives Club,10,en,30,7.1,2
Noah's Ark,2,en,30,4.217,1
Midnight at the Pera Palace,8,tr,30,7.138,2
Yu-Gi-Oh! Zexal,146,ja,30,6.833,2
Born to Kill,4,en,30,7.3,2
Yumi's Cells,28,ko,30,7.3,2
Upstairs Downstairs,9,en,30,7.333,2
Alvinnn!!! and The Chipmunks,214,en,30,7.333,2
Bad Girls,107,en,30,7.85,2
The Perils of Penelope Pitstop,17,en,30,5.7,1
Shtisel,33,he,30,8.5,3
6teen,94,en,30,7.8,2
I Am Frankie,42,en,30,6.967,2
HAPPYish,10,en,30,6.75,2
Netsuzou Trap -NTR-,12,ja,30,5.1,1
Dinosaur Train,200,en,30,6.333,2
Super Monsters,41,en,30,7.9,2
Another Self,8,tr,30,7.4,2
Aunty Donna's Big Ol House of Fun,6,en,30,7.217,2
The Lodge,25,en,30,7.75,2
Alguien te mira,78,es,30,6.533,2
Parallel World Pharmacy,12,ja,30,7.1,2
Dear Edward,10,en,30,7.55,2
Street Food: Asia,9,en,30,7.567,2
The Witch's Diner,8,ko,30,7.5,2
A Black Lady Sketch Show,24,en,30,7.3,2
Ultimate Beastmaster,29,en,30,6.117,2
A Grande Família,485,pt,30,8.333,3
Kaiba,12,ja,30,8.1,3
Teachers,50,en,30,6.0,1
LEGO Scooby-Doo Shorts,16,en,30,9.7,3
Drop Kick on My Devil!!,36,ja,30,7.0,2
Carter,20,en,30,7.4,2
Mr. Belvedere,117,en,30,6.933,2
The Life and Times of Juniper Lee,40,en,30,5.683,1
The Middleman,12,en,30,7.4,2
Diabolik Lovers,24,ja,30,4.717,1
Appare-Ranman!,13,ja,30,7.1,2
The Millers,34,en,30,5.8,1
Cocomelon,20,en,30,7.2,2
Jealousy Incarnate,24,ko,30,8.3,3
Back,12,en,30,7.667,2
Based on a True Story,8,en,30,7.767,2
BTS: Bon Voyage,32,ko,30,7.033,2
Hurts Like Hell,4,th,30,8.1,3
The Life of Birds,10,en,30,8.133,3
Northern Rescue,10,en,30,6.733,2
Cold Justice,110,en,30,7.617,2
The Adventures of Pete & Pete,38,en,30,7.367,2
The Rising,8,en,30,6.683,2
My Country: The New Age,16,ko,30,7.4,2
Schooled,34,en,30,6.817,2
Ninja Turtles: The Next Mutation,26,en,30,6.017,2
The Movies,12,en,30,6.5,2
Hot Wheels Battle Force 5,52,en,30,8.617,3
The Karate Kid,13,en,30,7.033,2
Full Circle,6,en,30,6.767,2
Long Way Down,6,en,30,8.3,3
Gordon Ramsay's 24 Hours to Hell and Back,28,en,30,7.917,2
My Love Mix-Up!,10,ja,30,7.867,2
Rise of the Teenage Mutant Ninja Turtles,70,en,30,6.467,2
The Shivering Truth,12,en,30,7.0,2
Rookie Cops,16,ko,30,7.8,2
Dalgliesh,12,en,30,6.3,2
My Fair Princess,112,zh,30,7.7,2
The Sex Factor,10,en,30,4.9,1
Gatchaman Crowds,24,ja,30,7.033,2
The Richie Rich/Scooby-Doo Show and Scrappy Too!,20,en,29,9.1,3
IRODUKU: The World in Colors,13,ja,29,7.2,2
Match of the Day,3129,en,29,7.3,2
Jiva!,5,en,29,7.448,2
Mad Love,13,en,29,5.4,1
The Feed,10,en,29,6.845,2
Tenacious D,6,en,29,7.207,2
Catscratch,40,en,29,7.3,2
The King's Avatar,40,zh,29,8.5,3
The Ray Bradbury Theater,65,en,29,7.2,2
Happy Town,8,en,29,5.621,1
Unforgettable Love,26,zh,29,8.0,2
Yuuna and the Haunted Hot Springs,12,ja,29,7.603,2
Agent Elvis,10,en,29,7.379,2
Danganronpa 3: The End of Hope's Peak High School,11,ja,29,6.069,2
Trial by Media,6,en,29,7.034,2
Merlin's Apprentice,2,en,29,5.0,1
Apocalypse: Stalin,3,fr,29,7.397,2
Doctor Thorne,3,en,29,7.086,2
Brotherhood: Final Fantasy XV,5,ja,29,6.7,2
Family Tree,8,en,29,6.4,2
Burning Love,42,en,29,7.4,2
Phoenix,26,ko,29,7.2,2
Arakawa Under the Bridge,26,ja,29,6.5,2
Serial Thriller: The Chameleon,3,en,29,6.6,2
Adachi and Shimamura,12,ja,29,6.897,2
The Team,16,de,29,6.5,2
The Kingdom,13,da,29,7.1,2
Kin,16,en,29,7.776,2
The Great British Bake Off,70,en,29,8.6,3
My Shy Boss,16,ko,29,7.328,2
Lambs of God,4,en,29,6.2,2
LEGO Masters,40,en,29,8.034,3
Partners in Crime,6,en,29,7.357,2
Hero Corp,92,fr,29,6.724,2
The World God Only Knows,36,ja,29,6.931,2
Demonbane,12,ja,29,8.1,3
Banana,8,en,29,6.966,2
Keeping Faith,20,cy,29,7.138,2
Solsidan,80,sv,29,6.9,2
The Trap: What Happened to Our Dream of Freedom,3,en,29,8.0,2
Addicted Heroin,15,zh,29,7.448,2
Come Back Alive,16,ko,29,8.3,3
We Hunt Together,12,en,29,6.897,2
Hikaru no Go,75,ja,29,7.81,2
Soundtrack,10,en,29,6.3,2
The Nightly Show with Larry Wilmore,164,en,29,5.9,1
Champions,10,en,29,5.534,1
Manual Para Ser Feliz,1,en,29,7.5,2
Unabomber: In His Own Words,4,en,29,7.31,2
Hot Girls Wanted: Turned On,6,en,29,6.9,2
The Berenstain Bears,52,en,29,7.621,2
Supernanny,133,en,29,7.0,2
Face to Face,24,da,29,5.862,1
A Girl and an Astronaut,6,pl,29,6.2,2
Gamer's Guide to Pretty Much Everything,37,en,29,7.9,2
Fox Spirit Matchmaker,24,ja,29,8.1,3
The Maxx,13,en,29,7.828,2
Cutthroat Kitchen,195,en,29,6.2,2
Revelations,6,en,29,5.7,1
Selena + Chef,39,en,29,8.9,3
Catching Killers,12,en,29,6.103,2
Miss Marple: The Body in the Library,3,en,29,7.3,2
SUPER LOVERS,20,ja,29,6.6,2
Pancho Villa: The Centaur of the North,10,es,29,8.345,3
Hostel Daze,21,hi,29,7.1,2
The Angel Next Door Spoils Me Rotten,12,ja,29,7.207,2
Heaven Official's Blessing,12,zh,29,8.1,3
Angel from Hell,13,en,29,5.9,1
8 Out of 10 Cats,223,en,29,7.034,2
My Three Sons,380,en,29,6.397,2
Whites,6,en,29,6.964,2
Afterlife,14,en,29,7.293,2
Lord Marksman and Vanadis,13,ja,29,7.138,2
Daniel Spellbound,20,en,29,8.138,3
EastSiders,27,en,29,6.466,2
Glória,10,pt,29,6.397,2
Crank Yankers,108,en,29,6.431,2
Walt Disney Animation Studios: Short Circuit Experimental Films,20,en,29,7.914,2
The Spooktacular New Adventures of Casper,144,en,29,6.4,2
Men in Trees,36,en,29,7.259,2
Hyena,16,ko,29,7.397,2
Q: Into the Storm,6,en,29,7.241,2
Shackleton,2,en,29,6.897,2
Miss Marple: At Bertram's Hotel,2,en,29,7.293,2
Tokyo Ravens,24,ja,29,6.172,2
Chaos Dragon: Sekiryuu Sen'eki,12,ja,29,6.8,2
Sobreamor,1,en,29,6.3,2
LEGO Elves: Secrets of Elvendale,8,en,29,7.7,2
He-Man and the Masters of the Universe,39,en,29,7.2,2
Crash & Bernstein,39,en,29,8.1,3
Ya Boy Kongming!,12,ja,29,8.138,3
The Thing About Pam,6,en,29,7.207,2
The Flying Nun,82,en,29,6.31,2
Vexed,9,en,29,7.414,2
Board James,29,en,29,7.931,2
The Twelve Kingdoms,45,ja,29,8.534,3
Dinnerladies,16,en,29,7.379,2
A Very British Scandal,3,en,29,7.362,2
No nos quieren ver,8,es,29,7.8,2
Seth MacFarlane's Cavalcade of Cartoon Comedy,50,en,29,5.759,1
Dag,40,no,29,8.172,3
Mike Judge's Beavis and Butt-Head,47,en,29,8.3,3
Atelier Escha & Logy: Alchemists of the Dusk Sky,12,ja,29,7.3,2
Doctor Who Confidential,78,en,29,8.0,2
Bubblegum Crisis,8,ja,29,7.3,2
Planet Dinosaur,6,en,29,8.207,3
Galileo,21,ja,29,8.2,3
Centennial,12,en,29,7.793,2
Creature Comforts,26,en,29,7.6,2
Cult,13,en,29,5.3,1
Webster,149,en,29,6.138,2
Beyond the Walls,3,fr,29,6.6,2
Iris,40,ko,29,7.5,2
Huntik: Secrets & Seekers,52,it,29,8.603,3
Steptoe and Son,55,en,29,7.8,2
Ani*Kuri15,15,ja,29,5.586,1
My Home Hero,12,ja,29,7.4,2
Heathcliff,91,en,29,6.2,2
Ijirare: Fukushuu Saimin,4,ja,29,8.7,3
Unstable,8,en,29,7.224,2
Swedish Dicks,20,en,29,6.276,2
Rebel Cheer Squad: A Get Even Series,8,en,29,7.534,2
The Green Planet,5,en,29,8.4,3
Splash Splash Love,2,ko,29,8.2,3
Koikimo,12,ja,29,6.31,2
Hope & Faith,73,en,29,5.6,1
Cannon Busters,12,ja,29,6.1,2
Shoresy,12,en,29,7.9,2
LEGO Star Wars: The Freemaker Adventures,26,en,29,7.138,2
Next in Fashion,20,en,29,7.121,2
Handy Manny,208,en,29,6.7,2
Petticoat Junction,222,en,29,6.017,2
The Mighty B!,39,en,28,5.964,1
Taarak Mehta Ka Ooltah Chashmah,3919,hi,28,5.8,1
Police University,16,ko,28,7.589,2
Difficult People,28,en,28,6.8,2
The Forsyte Saga,10,en,28,7.964,2
Madagascar,3,en,28,8.5,3
Underbelly,68,en,28,6.7,2
The Simple Life,56,en,28,4.4,1
Miami Ink,80,en,28,6.2,2
Wanted: Dead or Alive,94,en,28,6.879,2
Getting On,18,en,28,6.536,2
Megabeast Investigator Juspion,47,ja,28,7.696,2
Knots Landing,344,en,28,7.0,2
Kikoriki,399,ru,28,7.1,2
Oats Studios,19,en,28,6.536,2
Our Boys,10,en,28,7.518,2
Seitokai Yakuindomo,26,ja,28,6.9,2
Black Ink Crew New York,195,en,28,8.3,3
Chica Vampiro,120,es,28,7.518,2
Time Squad,53,en,28,6.179,2
Surface,8,en,28,6.5,2
The Wonder Pets,109,en,28,7.107,2
Code:Breaker,13,ja,28,7.089,2
Hunting Hitler,25,en,28,6.6,2
A Little Late with Lilly Singh,177,en,28,4.143,1
"Droopy, Master Detective",39,en,28,5.0,1
Sin novedad,6,es,28,5.875,1
Dragon Sakura,21,ja,28,7.411,2
Heartstrings,15,ko,28,6.9,2
Woman,11,ja,28,7.3,2
Ideal,52,en,28,8.214,3
Trump: An American Dream,4,en,28,6.393,2
Snapped,638,en,28,7.9,2
Jane by Design,18,en,28,7.357,2
Miss Marple: Sleeping Murder,2,en,28,7.196,2
Babylon,12,ja,28,6.107,2
The Catherine Tate Show,20,en,28,6.75,2
El Bienamado,96,es,28,7.8,2
Los 80,78,es,28,7.7,2
LEGO Star Wars: Droid Tales,5,en,28,6.4,2
Más Allá de Tí,8,es,28,7.214,2
Urawa no Usagi-chan,24,ja,28,7.0,2
Yuyushiki,12,ja,28,7.5,2
The Miracle,8,it,28,7.071,2
Stephen Hawking's Grand Design,3,en,28,7.6,2
The Fear Index,4,en,28,6.4,2
SWORD GAI: The Animation,24,ja,28,6.714,2
All the Way Up,19,fr,28,6.982,2
Unfabulous,41,en,28,7.25,2
Smart Guy,51,en,28,7.714,2
Case Closed: The Culprit Hanzawa,12,ja,28,7.6,2
Os Normais,71,pt,28,7.9,2
Celebrity Big Brother,592,en,28,4.6,1
The Deep,5,en,28,5.857,1
Faith,24,ko,28,7.2,2
Blood,20,ko,28,7.3,2
Still Open All Hours,40,en,28,5.821,1
Strange Angel,17,en,28,7.143,2
Dragnet,276,en,28,6.571,2
One Ordinary Day,8,ko,28,8.107,3
gen:LOCK,16,en,28,6.929,2
Break Point,10,en,28,7.5,2
Word of Honor,36,zh,28,8.3,3
Joker Game,12,ja,28,6.6,2
Head of the Class,114,en,28,6.2,2
The Day of the Triffids,6,en,28,6.268,2
When Heroes Fly,9,he,28,7.071,2
TVF Tripling,15,hi,28,7.429,2
Space Pirate Captain Harlock,42,ja,28,7.036,2
Sinbad,12,en,28,5.357,1
Los Espookys,12,es,28,6.3,2
Reading Rainbow,167,en,28,8.4,3
Los Plateados,148,es,28,6.6,2
Wellmania,8,en,28,7.3,2
City of Ghosts,6,en,28,7.036,2
"Nisman: The Prosecutor, the President and the Spy",6,es,28,6.7,2
Typewriter,5,hi,28,6.4,2
"Honey, I Shrunk the Kids: The TV Show",66,en,28,5.518,1
Skip and Loafer,12,ja,28,7.804,2
RWBY Chibi,74,en,28,6.929,2
Carpool Karaoke: The Series,75,en,28,6.125,2
Descendants: Wicked World,33,en,28,8.018,3
Men on a Mission,404,ko,28,7.714,2
"Devotion, a Story of Love and Desire",6,it,28,5.929,1
Why Her?,16,ko,28,7.714,2
Professor T,12,en,28,7.643,2
Cerberus,26,ja,28,7.9,2
Super Pig,51,ja,28,7.4,2
Kings of Jo'Burg,14,en,28,7.071,2
Time Traveling Bong,3,en,28,6.375,2
Super Drags,5,pt,28,5.3,1
Tiger King: The Doc Antle Story,3,en,28,6.143,2
One Big Happy,6,en,28,6.196,2
Mother of the Goddess' Dormitory,10,ja,28,7.2,2
Together with Me,26,th,28,7.5,2
Burn the House Down,8,ja,28,7.4,2
Hotel Babylon,32,en,28,7.482,2
Maoyu: Archenemy & Hero,12,ja,28,7.5,2
Too Close,3,en,28,6.232,2
VICE News Tonight,1004,en,28,6.574,2
Naked,16,tr,28,6.8,2
Devilman,39,ja,28,7.411,2
The Bletchley Circle: San Francisco,8,en,28,7.6,2
Yeh Meri Family,12,hi,28,7.821,2
Nagi-Asu: A Lull in the Sea,26,ja,28,7.5,2
Carrusel,30,es,28,7.036,2
Once Upon a Time... The Discoverers,26,fr,28,7.571,2
Orelsan: Never Show This to Anyone,10,fr,28,8.2,3
Walker Independence,13,en,28,6.839,2
Saturday Night's Main Event,41,en,28,7.893,2
The Rachel Maddow Show,396,en,28,6.268,2
The Slap,8,en,28,7.179,2
Our Cartoon President,46,en,28,5.339,1
Dog: Impossible,14,en,28,7.6,2
Here it all begins,768,fr,28,6.911,2
Until We Meet Again,17,th,28,8.3,3
Ant & Dec's Saturday Night Takeaway,132,en,28,6.3,2
Shakespeare & Hathaway - Private Investigators,40,en,28,7.464,2
McDonald & Dodds,8,en,28,7.857,2
The Unicorn,31,en,28,6.643,2
Love & Hip Hop Hollywood,97,en,28,7.3,2
Kuma Kuma Kuma Bear,24,ja,28,7.464,2
The Life & Times of Tim,60,en,28,7.964,2
The Joel McHale Show with Joel McHale,19,en,28,6.1,2
HIStory,108,zh,28,7.286,2
Reunited Worlds,40,ko,28,7.9,2
Family Feud,151,en,28,7.571,2
Strictly Come Dancing,426,en,28,6.3,2
The Last Narc,4,en,28,7.179,2
The Indian Detective,4,en,28,6.446,2
Love Doesn't Understand Words,31,tr,28,8.375,3
Married at First Sight,284,en,28,5.143,1
Comet Lucifer,12,ja,28,7.4,2
Inside,39,tr,28,8.4,3
French & Saunders,39,en,28,7.393,2
The Coroner,20,en,28,6.625,2
"Auf Wiedersehen, Pet",38,en,28,8.1,3
Dotto! Koni-chan,26,ja,28,8.2,3
I Am Cait,16,en,28,5.214,1
When Hope Calls,12,en,28,9.5,3
Dog Days,38,ja,28,7.6,2
Chicago Typewriter,16,ko,28,7.643,2
Tale of the Nine Tailed 1938,12,ko,28,8.304,3
Busted!,28,ko,28,8.1,3
Dong Yi,60,ko,28,8.411,3
The Birch,24,en,28,6.6,2
This Old House,1144,en,28,5.2,1
Ewoks,35,en,28,6.107,2
Wow! Wow! Wubbzy!,104,en,28,8.071,3
Unseen,6,en,28,6.482,2
It Was Always Me,10,es,28,7.357,2
The King's Woman,48,zh,28,5.375,1
Canaan,13,ja,28,6.661,2
Youth of May,12,ko,28,8.0,2
Motherland,17,en,28,7.3,2
No Traces,8,es,27,7.167,2
DNA,14,da,27,7.0,2
Sunset Beach,755,en,27,6.1,2
Joe Pickett,20,en,27,7.111,2
Blade: The Series,12,en,27,6.759,2
Gankutsuou,24,ja,27,8.2,3
The Changeling,8,en,27,8.3,3
Sword Snow Stride,38,zh,27,6.7,2
Pure,6,en,27,6.963,2
WCW Monday Nitro,292,en,27,8.7,3
Professionals,10,en,27,6.2,2
Cutie Pie,16,th,27,7.407,2
One Mississippi,12,en,27,7.481,2
Ja'mie: Private School Girl,6,en,27,6.7,2
Those Who Kill,10,da,27,7.0,2
The Best Future,5,ko,27,7.5,2
Poltergeist: The Legacy,88,en,27,6.87,2
Sweet Life,106,tr,27,7.6,2
Military Prosecutor Doberman,16,ko,27,8.296,3
Spotless,10,en,27,6.8,2
Van der Valk,9,en,27,6.148,2
Where Stars Land,32,ko,27,7.6,2
Dead Still,6,en,27,6.63,2
My Encounter with Evil,4,es,27,6.7,2
Two Sentence Horror Stories,29,en,27,5.704,1
Prime Suspect 1973,6,en,27,7.63,2
The Pirates of Dark Water,21,en,27,7.769,2
Fuuto PI,12,ja,27,8.0,2
Designated Survivor: 60 Days,16,ko,27,7.741,2
Dream On,120,en,27,6.944,2
Common Law,12,en,27,6.778,2
The World is Still Beautiful,12,ja,27,7.463,2
The Virgin Queen,4,en,27,6.407,2
TRIGUN STAMPEDE,11,ja,27,7.5,2
Love and Cruelty,120,es,27,6.741,2
Dog Whisperer,176,en,27,6.8,2
Delete Me,13,no,27,8.0,2
Heartbeat,372,en,27,7.111,2
Miss Sherlock,8,ja,27,7.0,2
Baseball,9,en,27,7.6,2
Mar do Sertão,178,pt,27,4.741,1
"Gomer Pyle, U.S.M.C.",150,en,27,7.2,2
SOTUS,28,th,27,6.5,2
Evil Lives Here,129,en,27,7.8,2
The Final Table,10,en,27,6.685,2
Tanaka-kun Is Always Listless,12,ja,27,8.0,2
Trauma,18,en,27,7.5,2
Hero,22,ja,27,7.962,2
GCB,10,en,27,6.315,2
D.B. Cooper: Where Are You?!,4,en,27,5.889,1
The Tenant of Wildfell Hall,3,en,27,7.4,2
Generation Hustle,10,en,27,7.3,2
The In-Laws,72,ru,27,7.1,2
The Kids from Room 402,50,en,27,7.611,2
Dirty Pair,24,ja,27,7.8,2
Life Story,7,en,27,8.63,3
Hangin' with Mr. Cooper,101,en,27,6.3,2
Ghost Adventures: Aftershocks,25,en,27,7.9,2
Ludik,6,en,27,7.519,2
New York Undercover,89,en,27,7.537,2
Mercy Street,12,en,27,6.1,2
Hundred,12,ja,27,6.4,2
The Sandhamn Murders,43,sv,27,7.148,2
Salt Fat Acid Heat,4,en,27,7.815,2
Dark Blue,20,en,27,6.926,2
Gold Rush: White Water,80,en,27,7.537,2
Leandro Díaz,83,es,27,7.5,2
Wilderness,6,en,27,6.6,2
Waking the Dead,92,en,27,7.6,2
Blue Submarine No. 6,4,ja,27,6.0,1
Hetalia,135,ja,27,5.8,1
Gordon Ramsay: Uncharted,23,en,27,7.8,2
Hakata Tonkotsu Ramens,12,ja,27,7.3,2
The Defenders,18,en,27,6.704,2
Monkey Dust,18,en,27,8.093,3
Mahabharat,94,hi,27,7.519,2
Two Summers,6,nl,27,6.926,2
Tommy,12,en,27,7.63,2
Law & Order: UK,53,en,27,7.259,2
Wishbone,50,en,27,8.2,3
Fearless,6,en,27,6.63,2
Hotel Room,3,en,27,6.2,2
Sasaki and Miyano,12,ja,27,7.648,2
Tonari no Seki-kun: The Master of Killing Time,21,ja,27,6.8,2
Odyssey 5,20,en,27,6.722,2
Zombie Detective,12,ko,27,8.333,3
Akasya Durağı,174,tr,27,7.259,2
WWE ECW,193,en,27,6.4,2
Blocked,120,fr,27,8.074,3
Todo es prestao,79,en,27,7.1,2
Cucumber,8,en,27,7.444,2
All or Nothing: Juventus,8,it,27,6.6,2
GRAND PRIX Driver,4,en,27,7.0,2
Kingdom,130,ja,27,8.111,3
Ghost Hunters International,62,en,27,8.519,3
Deception,11,en,27,5.648,1
Three Girls,3,en,27,7.352,2
Bering Sea Gold,167,en,27,6.13,2
In Love All Over Again,8,es,27,6.6,2
Traveler,8,en,27,7.0,2
Black Money Love,54,tr,27,8.074,3
30 for 30,125,en,27,7.5,2
Inside Men,4,en,27,6.741,2
Bad Teacher,13,en,27,5.704,1
Bard of Blood,7,hi,27,7.0,2
Chase,18,en,27,6.852,2
Benson,158,en,27,7.4,2
Seven Mortal Sins,12,ja,27,7.2,2
The Sinking of the Laconia,2,en,27,6.537,2
15 Storeys High,12,en,27,8.111,3
Time of Eve,6,ja,27,7.7,2
Babylon,6,en,27,6.5,2
My Wife is the Student Council President,24,ja,27,5.8,1
Maude,141,en,27,6.481,2
Max and Paddy's Road to Nowhere,6,en,27,7.6,2
Love Tyrant,12,ja,27,6.1,2
The Almighty Johnsons,36,en,27,7.852,2
Sanctuary,8,en,27,5.9,1
Happy Together,364,ru,27,5.6,1
Aoashi,24,ja,27,7.685,2
Limitless with Chris Hemsworth,6,en,27,8.185,3
Golden Boy,13,en,27,6.13,2
The Morose Mononokean,26,ja,27,7.2,2
"More Than a Married Couple, But Not Lovers",12,ja,27,7.519,2
Secrets & Lies,6,en,27,7.1,2
The Mayor,9,en,27,6.185,2
Our Great National Parks,5,en,27,7.4,2
Deal or No Deal,234,en,27,7.074,2
The Secret World of Nature: Spain,5,en,27,9.3,3
Big Order,10,ja,27,6.0,1
Princess Connect! Re:Dive,25,ja,27,6.9,2
Olga,89,ru,27,8.615,3
Harry and the Hendersons,72,en,27,5.462,1
The Perfect Insider,11,ja,27,6.648,2
Agents of Chaos,2,en,27,6.8,2
The Proud Family: Louder and Prouder,20,en,27,7.1,2
Fatal Attraction,8,en,27,6.3,2
Marvel Rising: Initiation,12,en,27,7.333,2
Republic of Doyle,77,en,27,7.6,2
Army Wives,117,en,27,7.6,2
Hotel Eleon,63,ru,27,7.148,2
The Whitest Kids U' Know,60,en,27,8.2,3
Borgen - Power & Glory,8,da,27,7.87,2
Monster High,174,en,26,8.0,2
Khakee: The Bihar Chapter,7,hi,26,7.9,2
